round,experiment,train_loss,eval_dice,evaluated_at_utc
1,FedAvg,0.742173691590627,0.06427927066882451,2026-09-17T13:49:22.969178+00:00
2,FedAvg,0.6245694094234042,0.09792505949735641,2026-09-17T13:49:22.969178+00:00
3,FedAvg,0.5623827377955118,0.1422696312268575,2026-09-17T13:49:22.969178+00:00
4,FedAvg,0.5123690598540835,0.2692809800306956,2026-09-17T13:49:22.969178+00:00
5,FedAvg,0.4686408473385705,0.4174972673257191,2026-09-17T13:49:22.969178+00:00
