round,experiment,train_loss,eval_dice,evaluated_at_utc
1,FedAvg,0.9155857827928331,0.030090525125463802,2026-09-17T13:32:57.465688+00:00
2,FedAvg,0.8143153190612793,0.03306859855850537,2026-09-17T13:32:57.465688+00:00
3,FedAvg,0.7560877005259196,0.03733798861503601,2026-09-17T13:32:57.465688+00:00
4,FedAvg,0.7195393906699286,0.0429054523507754,2026-09-17T13:32:57.465688+00:00
5,FedAvg,0.6891334851582844,0.0496133305132389,2026-09-17T13:32:57.465688+00:00
