round,experiment,train_loss,eval_dice,evaluated_at_utc
1,FedAvg,1.302322334713406,0.12117425600687662,2026-09-17T13:17:32.542869+00:00
2,FedAvg,1.1167241202460394,0.21083666384220123,2026-09-17T13:17:32.542869+00:00
3,FedAvg,1.0290746490160623,0.2909177243709564,2026-09-17T13:17:32.542869+00:00
4,FedAvg,0.9651656879319085,0.4230512082576751,2026-09-17T13:17:32.542869+00:00
5,FedAvg,0.9177203045950996,0.49700059493382764,2026-09-17T13:17:32.542869+00:00
